slno,idx,audio_filepath,person,sex,start_sample,end_sample,start_second,end_second,duration_second,vowel_type
1718,40344,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MHMR0/SI1692.WAV,MHMR0,M,25859,28616,1.6161875,1.7885,0.1723125,uw
1719,61046,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MTMT0/SX128.WAV,MTMT0,M,15800,17480,0.9875,1.0925,0.105,uw
1720,69946,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MDED0/SX270.WAV,MDED0,M,33800,35592,2.1125,2.2245,0.112,uw
1721,51726,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MRSP0/SI1429.WAV,MRSP0,M,68300,70425,4.26875,4.4015625,0.1328125,uw
1722,14675,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR5/MRJM3/SI1448.WAV,MRJM3,M,66965,68280,4.1853125,4.2675,0.0821875,uw
1723,51757,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MRSP0/SX169.WAV,MRSP0,M,18715,20010,1.1696875,1.250625,0.0809375,uw
1724,47496,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MFRM0/SX345.WAV,MFRM0,M,26067,27446,1.6291875,1.715375,0.0861875,uw
1725,6443,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR3/MJVW0/SX383.WAV,MJVW0,M,22917,24680,1.4323125,1.5425,0.1101875,uw
1726,3339,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR2/MJAR0/SI728.WAV,MJAR0,M,59390,62466,3.711875,3.904125,0.19225,uw
1727,42217,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MPRD0/SX351.WAV,MPRD0,M,4710,7240,0.294375,0.4525,0.158125,uw
1728,5337,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR3/MCSH0/SX289.WAV,MCSH0,M,10440,12360,0.6525,0.7725,0.12,uw
1729,14824,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR5/MRPP0/SI554.WAV,MRPP0,M,61076,64120,3.81725,4.0075,0.19025,uw
1730,28861,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MCTM0/SX270.WAV,MCTM0,M,28240,29409,1.765,1.8380625,0.0730625,uw
1731,31586,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MKDT0/SX353.WAV,MKDT0,M,10530,13075,0.658125,0.8171875,0.1590625,uw
1732,38573,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MCEF0/SX415.WAV,MCEF0,M,3360,5920,0.21,0.37,0.16,uw
1733,6499,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR3/MKCH0/SI1425.WAV,MKCH0,M,19559,21514,1.2224375,1.344625,0.1221875,uw
1734,6674,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR3/MLNT0/SX282.WAV,MLNT0,M,37167,38596,2.3229375,2.41225,0.0893125,uw
1735,1176,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR1/MSTK0/SI2222.WAV,MSTK0,M,33665,34281,2.1040625,2.1425625,0.0385,uw
1736,1290,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR1/MWBT0/SI1553.WAV,MWBT0,M,60598,62085,3.787375,3.8803125,0.0929375,uw
1737,48500,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MJEE0/SX337.WAV,MJEE0,M,22015,24856,1.3759375,1.5535,0.1775625,uw
1738,42543,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MREE0/SI1104.WAV,MREE0,M,57213,58230,3.5758125,3.639375,0.0635625,uw
1739,29106,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MDEM0/SX248.WAV,MDEM0,M,28156,29166,1.75975,1.822875,0.063125,uw
1740,40419,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MHMR0/SX399.WAV,MHMR0,M,6680,9148,0.4175,0.57175,0.15425,uw
1741,33754,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MRJT0/SX328.WAV,MRJT0,M,52124,55035,3.25775,3.4396875,0.1819375,uw
1742,71457,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MGSL0/SX354.WAV,MGSL0,M,27279,28574,1.7049375,1.785875,0.0809375,uw
1743,24805,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/MRSO0/SX39.WAV,MRSO0,M,34270,36177,2.141875,2.2610625,0.1191875,uw
1744,74900,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MTML0/SX345.WAV,MTML0,M,28036,29459,1.75225,1.8411875,0.0889375,uw
1745,39244,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MDLC0/SI1395.WAV,MDLC0,M,74180,75640,4.63625,4.7275,0.09125,uw
1746,38102,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MCAL0/SA1.WAV,MCAL0,M,18548,20637,1.15925,1.2898125,0.1305625,uw
1747,46657,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MBWP0/SI1531.WAV,MBWP0,M,3330,5224,0.208125,0.3265,0.118375,uw
1748,25040,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/MTJS0/SX292.WAV,MTJS0,M,12574,13800,0.785875,0.8625,0.076625,uw
1749,20851,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR8/MSLB0/SI563.WAV,MSLB0,M,45266,47271,2.829125,2.9544375,0.1253125,uw
1750,56398,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MCLM0/SI2086.WAV,MCLM0,M,23352,25000,1.4595,1.5625,0.103,uw
1751,6664,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR3/MLNT0/SX282.WAV,MLNT0,M,5560,7000,0.3475,0.4375,0.09,uw
1752,56664,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MDHL0/SX179.WAV,MDHL0,M,30500,31320,1.90625,1.9575,0.05125,uw
1753,64695,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR6/MMDB0/SA1.WAV,MMDB0,M,17462,19160,1.091375,1.1975,0.106125,uw
1754,68401,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MADD0/SI1798.WAV,MADD0,M,41691,43070,2.6056875,2.691875,0.0861875,uw
1755,77904,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR8/MRDM0/SI1595.WAV,MRDM0,M,7253,8939,0.4533125,0.5586875,0.105375,uw
1756,34539,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MTDB0/SI1401.WAV,MTDB0,M,52585,53675,3.2865625,3.3546875,0.068125,uw
1757,30195,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MJAE0/SX174.WAV,MJAE0,M,46585,48192,2.9115625,3.012,0.1004375,uw
1758,6480,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR3/MKCH0/SI1378.WAV,MKCH0,M,16506,17963,1.031625,1.1226875,0.0910625,uw
1759,30623,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MJEB0/SX296.WAV,MJEB0,M,6050,7853,0.378125,0.4908125,0.1126875,uw
1760,34664,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MTJG0/SI2157.WAV,MTJG0,M,2760,4066,0.1725,0.254125,0.081625,uw
1761,70385,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MDLR0/SI1233.WAV,MDLR0,M,42673,43959,2.6670625,2.7474375,0.080375,uw
1762,3762,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR2/MPGL0/SA1.WAV,MPGL0,M,20680,22840,1.2925,1.4275,0.135,uw
1763,71242,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MGAW0/SI1165.WAV,MGAW0,M,9023,10402,0.5639375,0.650125,0.0861875,uw
1764,34206,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MSAT0/SX176.WAV,MSAT0,M,28560,29632,1.785,1.852,0.067,uw
1765,60178,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MRVG0/SX330.WAV,MRVG0,M,16600,18920,1.0375,1.1825,0.145,uw
1766,46720,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MBWP0/SX349.WAV,MBWP0,M,10390,11738,0.649375,0.733625,0.08425,uw
1767,5655,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR3/MGLB0/SI904.WAV,MGLB0,M,45536,47332,2.846,2.95825,0.11225,uw
1768,10498,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR4/MJRF0/SX101.WAV,MJRF0,M,33712,34331,2.107,2.1456875,0.0386875,uw
1769,3241,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR2/MGWT0/SX279.WAV,MGWT0,M,35520,36600,2.22,2.2875,0.0675,uw
1770,51396,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MRAB1/SX398.WAV,MRAB1,M,17510,19133,1.094375,1.1958125,0.1014375,uw
1771,34943,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MZMB0/SI536.WAV,MZMB0,M,16413,17480,1.0258125,1.0925,0.0666875,uw
1772,1086,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR1/MSJS1/SX279.WAV,MSJS1,M,25640,26280,1.6025,1.6425,0.04,uw
1773,63766,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR6/MCAE0/SI1447.WAV,MCAE0,M,80270,84160,5.016875,5.26,0.243125,uw
1774,31045,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MJPM0/SI1368.WAV,MJPM0,M,49290,50274,3.080625,3.142125,0.0615,uw
1775,61204,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MVLO0/SX337.WAV,MVLO0,M,21054,24280,1.315875,1.5175,0.201625,uw
1776,1104,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR1/MSJS1/SX9.WAV,MSJS1,M,7644,8981,0.47775,0.5613125,0.0835625,uw
1777,24174,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/MPGR0/SX330.WAV,MPGR0,M,38310,40104,2.394375,2.5065,0.112125,uw
1778,64085,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR6/MEAL0/SX377.WAV,MEAL0,M,32660,35000,2.04125,2.1875,0.14625,uw
1779,23917,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/MMRP0/SX234.WAV,MMRP0,M,28110,29493,1.756875,1.8433125,0.0864375,uw
1780,33941,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MRLR0/SI1196.WAV,MRLR0,M,45745,46503,2.8590625,2.9064375,0.047375,uw
1781,20615,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR8/MPAM0/SX19.WAV,MPAM0,M,3718,5096,0.232375,0.3185,0.086125,uw
1782,3117,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR2/MDLD0/SX193.WAV,MDLD0,M,21639,22349,1.3524375,1.3968125,0.044375,uw
1783,7774,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR3/MWJG0/SX134.WAV,MWJG0,M,14913,15665,0.9320625,0.9790625,0.047,uw
1784,3075,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR2/MDLD0/SI2173.WAV,MDLD0,M,58180,59454,3.63625,3.715875,0.079625,uw
1785,65085,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR6/MRXB0/SI1585.WAV,MRXB0,M,17754,18840,1.109625,1.1775,0.067875,uw
1786,2773,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR2/MCEM0/SA1.WAV,MCEM0,M,18340,20840,1.14625,1.3025,0.15625,uw
1787,28721,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MCEW0/SX182.WAV,MCEW0,M,13451,17109,0.8406875,1.0693125,0.228625,uw
1788,72087,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MJFR0/SX345.WAV,MJFR0,M,36910,38665,2.306875,2.4165625,0.1096875,uw
1789,75498,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MWRE0/SX337.WAV,MWRE0,M,20320,23179,1.27,1.4486875,0.1786875,uw
1790,43595,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MTKP0/SX303.WAV,MTKP0,M,15832,18422,0.9895,1.151375,0.161875,uw
1791,7404,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR3/MTAA0/SX205.WAV,MTAA0,M,28825,30328,1.8015625,1.8955,0.0939375,uw
1792,72354,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MJRA0/SX426.WAV,MJRA0,M,35091,37013,2.1931875,2.3133125,0.120125,uw
1793,42650,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MREH1/SI1599.WAV,MREH1,M,5836,8718,0.36475,0.544875,0.180125,uw
1794,20338,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR8/MJTC0/SI2090.WAV,MJTC0,M,16967,18760,1.0604375,1.1725,0.1120625,uw
1795,11258,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR4/MPWM0/SX137.WAV,MPWM0,M,26402,27655,1.650125,1.7284375,0.0783125,uw
1796,59434,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MRAM0/SX195.WAV,MRAM0,M,5138,6433,0.321125,0.4020625,0.0809375,uw
1797,50987,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MPEB0/SX240.WAV,MPEB0,M,22015,22851,1.3759375,1.4281875,0.05225,uw
1798,71449,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MGSL0/SX264.WAV,MGSL0,M,38558,40647,2.409875,2.5404375,0.1305625,uw
1799,34287,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MTAT1/SI1409.WAV,MTAT1,M,24271,26527,1.5169375,1.6579375,0.141,uw
1800,7908,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR4/FADG0/SX19.WAV,FADG0,F,4840,6200,0.3025,0.3875,0.085,uw
1801,63175,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR6/FSGF0/SI927.WAV,FSGF0,F,62932,64662,3.93325,4.041375,0.108125,uw
1802,35709,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/FEME0/SX245.WAV,FEME0,F,9817,12570,0.6135625,0.785625,0.1720625,uw
1803,26964,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/FKAA0/SX128.WAV,FKAA0,F,14454,15960,0.903375,0.9975,0.094125,uw
1804,67043,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/FKDE0/SX151.WAV,FKDE0,F,33587,34757,2.0991875,2.1723125,0.073125,uw
1805,67378,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/FLET0/SI1767.WAV,FLET0,F,3480,4520,0.2175,0.2825,0.065,uw
1806,195,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR1/FDAC1/SX124.WAV,FDAC1,F,30203,31800,1.8876875,1.9875,0.0998125,uw
1807,53545,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/FDTD0/SX301.WAV,FDTD0,F,10240,12120,0.64,0.7575,0.1175,uw
1808,2348,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR2/FSLB1/SX14.WAV,FSLB1,F,33503,35029,2.0939375,2.1893125,0.095375,uw
1809,62017,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR6/FHXS0/SI2302.WAV,FHXS0,F,2738,4530,0.171125,0.283125,0.112,uw
1810,21737,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/FKFB0/SX438.WAV,FKFB0,F,66742,68120,4.171375,4.2575,0.086125,uw
1811,44830,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/FCAG0/SX333.WAV,FCAG0,F,18420,20762,1.15125,1.297625,0.146375,uw
1812,62678,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR6/FPAD0/SX176.WAV,FPAD0,F,38270,39943,2.391875,2.4964375,0.1045625,uw
1813,53828,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/FEXM0/SX366.WAV,FEXM0,F,64194,66158,4.012125,4.134875,0.12275,uw
1814,26234,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/FDAS1/SI831.WAV,FDAS1,F,63814,64695,3.988375,4.0434375,0.0550625,uw
1815,1445,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR2/FCMR0/SX205.WAV,FCMR0,F,45480,46214,2.8425,2.888375,0.045875,uw
1816,13113,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR5/FUTB0/SX124.WAV,FUTB0,F,19926,21164,1.245375,1.32275,0.077375,uw
1817,45836,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/FLKM0/SX260.WAV,FLKM0,F,11720,12992,0.7325,0.812,0.0795,uw
1818,15465,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR6/FLNH0/SX134.WAV,FLNH0,F,16751,18422,1.0469375,1.151375,0.1044375,uw
1819,25899,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/FCAJ0/SX399.WAV,FCAJ0,F,6934,8563,0.433375,0.5351875,0.1018125,uw
1820,62009,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR6/FHXS0/SI1075.WAV,FHXS0,F,18840,20495,1.1775,1.2809375,0.1034375,uw
1821,53813,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/FEXM0/SX366.WAV,FEXM0,F,6099,7352,0.3811875,0.4595,0.0783125,uw
1822,21157,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/FDML0/SA1.WAV,FDML0,F,18440,20553,1.1525,1.2845625,0.1320625,uw
1823,61844,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR6/FAPB0/SX433.WAV,FAPB0,F,49180,50561,3.07375,3.1600625,0.0863125,uw
1824,21689,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/FKFB0/SX168.WAV,FKFB0,F,2385,4418,0.1490625,0.276125,0.1270625,uw
1825,44709,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/FBMJ0/SX336.WAV,FBMJ0,F,25524,26840,1.59525,1.6775,0.08225,uw
1826,67140,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/FKSR0/SI1747.WAV,FKSR0,F,25789,27023,1.6118125,1.6889375,0.077125,uw
1827,67381,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/FLET0/SI1767.WAV,FLET0,F,12600,14519,0.7875,0.9074375,0.1199375,uw
1828,27331,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/FMJB0/SI547.WAV,FMJB0,F,7728,10520,0.483,0.6575,0.1745,uw
1829,21019,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/FCJF0/SX397.WAV,FCJF0,F,21184,23071,1.324,1.4419375,0.1179375,uw
1830,4923,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR3/FPKT0/SX188.WAV,FPKT0,F,3010,4804,0.188125,0.30025,0.112125,uw
1831,21565,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/FJSP0/SX174.WAV,FJSP0,F,25680,26960,1.605,1.685,0.08,uw
1832,26406,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/FDNC0/SX378.WAV,FDNC0,F,26920,29400,1.6825,1.8375,0.155,uw
1833,36518,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/FLTM0/SI1070.WAV,FLTM0,F,5458,6666,0.341125,0.416625,0.0755,uw
1834,8178,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR4/FCRH0/SX368.WAV,FCRH0,F,14840,18040,0.9275,1.1275,0.2,uw
1835,68066,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/FREH0/SX415.WAV,FREH0,F,2548,3560,0.15925,0.2225,0.06325,uw
1836,53269,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/FCDR1/SX106.WAV,FCDR1,F,8605,11560,0.5378125,0.7225,0.1846875,uw
